slug;title;description;cover_url;language;bunny_url
viciado-em-mimar-sua-esposa-recem-casada;Viciado em mimar sua esposa Recem-Casada;"O dorama ""Viciado em Mimar Sua Esposa Recém-casada"" (ou ""Would You Marry Me?"") é sobre uma designer que, após um término, ganha uma casa luxuosa e aceita um casamento de fachada de 90 dias com um herdeiro de padaria, um homem perfeccionista com o mesmo nome do ex-noivo, para proteger o prêmio, explorando se esse acordo evoluirá para amor em uma comédia romântica. Outra versão, focada em mistério, envolve uma mulher rica trocada na infância que, após uma doença, busca vingança, recebendo ajuda de um homem misterioso ao se casar com ele. ";https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1764946506291-p96ses.jpg;legendado;https://doramasplus.b-cdn.net/Viciado%20Em%20Mimar%20Sua%20Esposa%20%20Recem-Casada.mp4
marca-do-amor;Marca do Amor;Olívia se vende como serva para salvar a mãe e acaba marcada por Ângelo, o jovem comandante. Seis anos depois, ela retorna com gêmeos e é humilhada pela família. À beira da morte, Ângelo a reconhece e protege. Com os filhos como prova, ela conquista seu lugar de esposa legítima e triunfa sobre os inimigos.;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1764946841244-vxg76.jpg;dublado;https://doramasplus.b-cdn.net/Marca%20do%20Amor.mp4
encontrei-um-marido-bilionario-e-sem-teto-para-o-natal;Encontrei um marido bilionario e sem teto para o Natal;Victoria estava pronta para voltar ao Texas com seu noivo Carl para planejar o casamento, mas foi terrivelmente humilhada e traída por ele. Para não se dar mal com sua família, Victoria relutantemente concorda em se casar com Simon, um sem-teto que ela estava ajudando. Mal sabia ela que Simon não é um sem-teto qualquer - ele é um bilionário bonito e charmoso, CEO do prestigioso Jones Group, classificado como o número um do país. Ao retornar ao Texas com Simon, Victoria inesperadamente cruza o caminho de seu arrogante ex, Carl. Dessa vez, ela está determinada a recuperar toda a dignidade que perdeu.;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1764958776188-l73bvs.jpg;dublado;https://doramasplus.b-cdn.net/Encontrei%20um%20marido%20bilionario%20e%20sem%20teto%20para%20o%20Natal.mp4
meu-chefe-e-um-gala-digital;Meu chefe é um galã Digital;Ela é uma artista de webcomics eróticos secreta. Ele é o seu CEO. O pesadelo começa quando ela descobre que seu namorado virtual perfeito é, na verdade, seu chefe temido na vida real. Para evitar ser demitida, Bela encara um jogo de identidades secretas, sem saber que toda a confusão foi uma armação dele para conquistá-la.;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1764958985253-x81e8.jpg;dublado;https://doramasplus.b-cdn.net/Meu%20chefe%20%C3%A9%20um%20gal%C3%A3%20Digital.mp4
so-quero-voce;Só Quero Você;Rosalie, uma violinista corajosa, salva Damien dos bullies do liceu, deixando-lhe uma pulseira preciosa como recordação. Dez anos depois, o destino reúne-os através de um casamento contratual orquestrado pelo avô de Damien. Apesar dos conflitos e mal-entendidos iniciais, a sua ligação aprofunda-se à medida que Damien procura o seu salvador há muito perdido, sem saber que Rosalie é Rory. A traição, o ciúme e o perigo testam a sua relação, mas o amor prevalece quando Damien descobre a;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1764959409382-uh0g5s.jpg;dublado;https://doramasplus.b-cdn.net/S%C3%B3%20Quero%20Voc%C3%AA.mp4
gravida-do-ceo-mimada-pela-familia-inteira;Gravida do Ceo, Mimada pela familia Inteira;De origem simples, Lígia é humilhada pela supervisora durante o período de experiência e atormentada pela própria família. Mas o destino dá uma reviravolta quando ela, por acaso, se envolve com o presidente do Grupo Esteves, Hugo Esteves, e acaba sendo efetivada. Grávida de trigêmeos, Lígia tenta esconder a verdade, mas o segredo vem à tona quando ele descobre tudo por causa da misteriosa ligação fisiológica dos Esteves. Ao saber da gravidez, o CEO entra em modo de proteção total, enfrenta por ela o trabalho, a família e todas as dificuldades. No fim, os dois finalmente encontram a felicidade.;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1764959820057-z0drdf.jpg;dublado;https://doramasplus.b-cdn.net/Gravida%20do%20Ceo%2C%20Mimada%20pela%20familia%20Inteira.mp4
receita-para-fingir-um-matrimonio;Receita para fingir um Matrimonio;Sem sinopse;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1764960786761-6m4sm1.jpg;legendado;https://doramasplus.b-cdn.net/Receita%20para%20fingir%20um%20Matrimonio.mp4
criando-o-filho-bastardo-do-meu-marido;Criando o filho bastardo do meu Marido;Mal sobrevivendo ao parto, Isabella segura seu bebê nos braços…Só para descobrir o marido com a amante celebrando o nascimento do próprio filho!O casal traidor planeja MATAR o filho dela…e forçá-la a criar o filho deles — tudo para roubar sua fortuna.Convinces da vitória, eles riem…Mas não sabem que acabaram de provocar…A MULHER ERRADA.E ela vai fazê-los pagar por cada gota de sofrimento.A vingança está apenas começando.;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1764969386171-h5dqa5.jpg;dublado;https://doramasplus.b-cdn.net/Criando%20o%20filho%20bastardo%20do%20meu%20marido.mp4
imbativel-meu-guarda-costas;Imbativel meu Guarda-Costas;"O dorama ""Imbatível Meu Guarda-Costas"" (também conhecido como O Guarda-Costas Invencível) segue Rodrigo Lacerda, um guarda-costas que protege Isabela Souza, herdeira de um grande grupo, enquanto ela luta por um projeto importante, o ""Elixir Celestial"", enfrentando famílias rivais e perigos que trazem à tona segredos do passado e mudam o destino de todos, misturando ação e romance. ";https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1764974329724-fbjqt.jpg;dublado;https://doramasplus.b-cdn.net/Imbativel%20meu%20Guarda%20Costas.mp4
de-zombado-a-imparavel;De Zombado a Imparável;Por anos foi o alvo de todas as piadas. Quando decidiu parar de aceitar os limites que os outros colocaram nele, a transformação foi tão completa que os mesmos que zombavam não conseguiam mais acompanhar o ritmo do seu sucesso.;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1769785118311-5oc0eqj.jpg;legendado;https://doramasplus.b-cdn.net/De%20Zombado%20a%20Impar%C3%A1vel.mp4
amor-que-nao-volta-mais;Amor que nao volta Mais;"Sabrina, agradecida pelo favor recebido, casou-se com Eduardo, mas acabou traída, humilhada e pressionada, chegando a ter um parto prematuro com hemorragia que quase lhe tirou a vida. Com o coração destruído, ela resolveu contra-atacar, na frente da imprensa, assumiu o papel de ""amante"" e depois fingiu a própria morte, fugindo para Porto Aromas. Cinco anos depois, Sabrina renasce como uma designer renomada. Ao descobrir que ela está viva, Eduardo enlouquece tentando encontrá-la, oferecendo dinheiro e até usando o filho como moeda de troca. Mas Sabrina já não é aquela mulher de antes, ela se reinventou, e jamais vai olhar para trás.";https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1765031652389-o1pp8.jpg;legendado;https://doramasplus.b-cdn.net/Amor%20que%20nao%20volta%20Mais.mp4
papai-malvado-voce-ta-frito;Papai malvado voce ta Frito!;"Antigamente temido como um chefão do submundo, Eddie escolheu levar uma vida tranquila. Quatro anos depois, Nora Olson volta, uma CEO deslumbrante, com uma criança nos braços e destrói sua paz: — Ela é sua. Case comigo e seja o pai dela. Um casamento relâmpago. Traições familiares. Guerras corporativas. E justamente quando Nora mais precisa ser salva, o homem mais rico do mundo chama seu novo marido de… filho!
";https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1765031997006-n120q.jpg;dublado;https://doramasplus.b-cdn.net/Papai%20malvado%20voce%20ta%20Frito!.mp4
28-dias-com-o-alfa;28 dias com o Alfa;Um alfa amaldiçoado propõe um acordo tentador a Haley: beijos noturnos em troca do pagamento de suas dívidas. Parece simples, mas há uma regra crucial: não se apaixonar pelo monstro. O problema? O coração nem sempre segue regras.;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1765045929123-73eyu.jpg;dublado;https://doramasplus.b-cdn.net/28%20dias%20com%20o%20Alfa.mp4
destinado-ao-meu-vizinho-chdestinado-ao-meu-vizinho-chefeefe;Destinado ao meu vizinho ChDestinado ao meu vizinho Chefeefe;Sem sinopse;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1765046238859-jak7xn.jpg;legendado;https://doramasplus.b-cdn.net/Destinado%20ao%20meu%20vizinho%20Chefe.mp4
rotas-paralelas;Rotas Paralelas;"""Durante cinco anos, a Elisa manteve um relacionamento secreto com o comandante Gabriel. Recusou promoções e permaneceu como sua copilota. Ao descobrir que ele ainda tinha laços com a ex, Elisa decidiu encerrar tudo. Pediu para voar sozinha e se tornou a primeira mulher comandante da AeroCeleste. Escolheu uma nova rota, que jamais cruza com a do Gabriel.""";https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1765051670209-23jlht.jpg;dublado;https://doramasplus.b-cdn.net/Rotas%20Paralelas.mp4
doce-cafe-amarga-separacao;Doce café, Amarga Separação;O café que tomavam juntos toda manhã virou o símbolo de tudo que foi doce — e a separação, amarga como borra no fundo do copo. Entre a memória de um ritual simples e a dor de um fim inevitável, os dois precisam descobrir o que fazer com o que sobrou.;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1764945326145-q3lgo0d.jpg;dublado;https://doramasplus.b-cdn.net/Doce%20caf%C3%A9%2C%20Amarga%20Separa%C3%A7%C3%A3o.mp4
ela-enlouqueceu-o-pescoco-e-o-proximo;Ela Enlouqueceu, O Pescoço e o Próximo;Quando ela enlouqueceu, o mundo ao redor precisou escolher entre ignorar ou enfrentar o que havia causado essa quebra. A história que surgiu foi mais perturbadora e mais humana do que qualquer um estava preparado para ver.;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1765830164750-pv1twm.jpg;dublado;https://doramasplus.b-cdn.net/Ela%20Enlouqueceu%2C%20O%20Pesco%C3%A7o%20e%20o%20Pr%C3%B3ximo.mp4
ela-largou-o-marido-bilionario-a-esposa-e-demais-e-o-ceo-frio-chorou-de-novo;Ela Largou o marido Bilionário/ A Esposa é Demais e o ceo frio chorou de Novo;Ela largou o bilionário e ele só percebeu o que perdeu quando não havia mais nada para segurar. O CEO frio que nunca chorou se viu diante da única coisa que dinheiro nenhum poderia comprar de volta.;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1766858697931-54hmnq.jpg;legendado;https://doramasplus.b-cdn.net/ESPOSA%20%C3%89%20INCR%C3%8DVEL%20FRIO%20CEO%20FU%20EST%C3%81%20CHORANDO%20DE%20NOVO.mp4
do-lixo-ao-luxo-pais-bilionarios-caindo-do-ceu;Do lixo ao Luxo, Pais Bilionarios caindo do Ceu;"Marcos e Luiza, Bilionarios, Reencontram o filho perdido e se disfarçam de Humildades para testar seu carater. Leonardo os acolhe com amor e ainda os apresenta para sua namorada, joana frota. no entando, A familia frota menospresa marcos e luiza, Forçando leonardo a cancelar o noivado para proteger seus pais
";https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1765050415044-fbese8.jpg;dublado;https://doramasplus.b-cdn.net/Do%20lixo%20ao%20Luxo%20Pais%20Bilionarios%20Caindo%20do%20Ceu.mp4
chefe-sua-estagiaria-e-sua-esposa;Chefe, sua estagiaria é sua Esposa;Ele a contratou como estagiária sem saber que ela era a mulher com quem havia se casado anos atrás. Quando a verdade começa a vazar pelas frestas do escritório, nenhum dos dois consegue mais fingir que é apenas mais um dia de trabalho.;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1765046664036-o0dby.jpg;dublado;https://doramasplus.b-cdn.net/Chefe%20sua%20estagiaria%20%C3%A9%20sua%20Esposa.mp4
disparo-do-destino;Disparo do Destino;"Ela é uma agente de elite da Interpol. Ele, um assassino de aluguel com um passado sombrio. Quando seus mundos colidem durante uma missão internacional, um único disparo muda o rumo de suas vidas — e desperta uma conexão tão perigosa quanto irresistível.
Agora, entre explosões, traições e olhares intensos, os dois precisarão decidir: confiar um no outro… ou puxar o gatilho.
No jogo entre amor e morte, o coração é sempre o alvo.";https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1765057928872-xv52z9.jpg;dublado;https://doramasplus.b-cdn.net/Disparo%20do%20Destino.mp4
eles-me-expulsaram-eu-construi-minha-vida;Eles me Expulsaram, Eu construi minha Vida;Eles a expulsaram sem hesitar, certos de que ela desapareceria. Ela construiu uma vida inteira do zero, tijolo por tijolo, sem pedir ajuda de ninguém. O dia em que os caminhos se cruzaram novamente, a diferença entre quem partiu e quem ficou era gritante.;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1767114826826-2fv6w6.jpg;dublado;https://doramasplus.b-cdn.net/Eles%20me%20Expulsaram%2C%20Eu%20construi%20minha%20Vida.mp4
encontro-errado-amor-certo;Encontro Errado, Amor Certo;O encontro foi completamente errado — hora errada, lugar errado, pessoa errada. Só que do encontro errado nasceu o amor mais certo que qualquer um dos dois jamais havia sentido.;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1767801241115-14vgj.jpg;dublado;https://doramasplus.b-cdn.net/ENCONTRO%20ERRADO%2C%20AMOR%20CERTO.mp4
dei-a-luz-o-filho-da-amante-do-meu-marido;Dei a Luz o Filho da amante do meu Marido;Ela carregou no próprio corpo o filho da traição do marido — uma crueldade que nenhuma mulher deveria suportar. O que fez com essa dor depois, no entanto, foi a história mais surpreendente e corajosa que qualquer um poderia contar.;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1767809409610-1cxrm.jpg;dublado;https://doramasplus.b-cdn.net/Dei%20a%20Luz%20o%20Filho%20da%20amante%20do%20meu%20Marido.mp4
de-ninguem-a-queridinha-dele;De Ninguém a Queridinha Dele;De invisível para o mundo a querida de alguém que finalmente a enxergou de verdade — essa jornada não foi simples nem rápida. Mas chegou. E quando chegou, transformou tudo que ela achava que sabia sobre si mesma.;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1768226566158-v5gh4t.jpg;dublado;https://iframe.mediadelivery.net/play/549745/8489b0ca-335f-46d6-8f82-5418afb5f5fc
ela-nao-e-tao-boazinha;Ela não é tão Boazinha;Todos a subestimaram porque preferiam a versão dócil e discreta que ela apresentava. Quando a versão real finalmente apareceu, ficou claro que ela nunca foi boazinha — apenas estava esperando o momento certo.;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1768239808150-oatz29.jpg;dublado;https://doramasplus.b-cdn.net/Ela%20n%C3%A3o%20%C3%A9%20t%C3%A3o%20Boazinha.mp4
de-volta-ex-secreto-venha-buscar-o-herdeiro;De volta, Ex Secreto: Venha Buscar o Herdeiro!;Ele sumiu antes de saber da gravidez. Ela criou o filho sozinha e nunca buscou ser encontrada. Quando o ex secreto volta, a revelação do herdeiro muda o jogo de uma forma que nenhum dos dois estava pronto para enfrentar.;https://fbngdxhkaueaolnyswgn.supabase.co/storage/v1/object/public/covers/covers/1768053974914-w9vvqa.jpg;dublado;https://doramasplus.b-cdn.net/De%20volta%2C%20Ex%20Secreto%20Venha%20buscar%20o%20seu%20Herdeiro!.mp4
